source_row,view_rate,view_rate_bin,hashtags,transaction,hashtag_count
13,0.24316546762589927,low_view_rate,hashtag=today_and_everyday|hashtag=noodles|hashtag=نودلز|hashtag=اليوم_وكل_يوم,hashtag=today_and_everyday|hashtag=noodles|hashtag=نودلز|hashtag=اليوم_وكل_يوم|low_view_rate,4
14,0.7913669064748201,avg_view_rate,hashtag=rainbowcake|hashtag=today_and_everyday|hashtag=vanilla|hashtag=فانيلا|hashtag=اليوم_وكل_يوم|hashtag=رينبوكيك,hashtag=rainbowcake|hashtag=today_and_everyday|hashtag=vanilla|hashtag=فانيلا|hashtag=اليوم_وكل_يوم|hashtag=رينبوكيك|avg_view_rate,6
15,0.7553956834532374,avg_view_rate,hashtag=today_and_everyday|hashtag=desserts|hashtag=coffee|hashtag=كيك|hashtag=اليوم_وكل_يوم|hashtag=قهوة,hashtag=today_and_everyday|hashtag=desserts|hashtag=coffee|hashtag=كيك|hashtag=اليوم_وكل_يوم|hashtag=قهوة|avg_view_rate,6
16,0.9496402877697842,avg_view_rate,hashtag=today_and_everyday|hashtag=الصباح|hashtag=قهوة|hashtag=فانيلا|hashtag=اليوم_وكل_يوم|hashtag=vanilla|hashtag=coffee|hashtag=morning|hashtag=trending,hashtag=today_and_everyday|hashtag=الصباح|hashtag=قهوة|hashtag=فانيلا|hashtag=اليوم_وكل_يوم|hashtag=vanilla|hashtag=coffee|hashtag=morning|hashtag=trending|avg_view_rate,9
17,0.7697841726618705,avg_view_rate,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=مسابقة|hashtag=today_and_everyday|hashtag=competition,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=مسابقة|hashtag=today_and_everyday|hashtag=competition|avg_view_rate,4
18,0.8057553956834532,avg_view_rate,hashtag=vanilla|hashtag=desserts|hashtag=cake|hashtag=today_and_everyday|hashtag=فانيلا|hashtag=كيك|hashtag=اليوم_وكل_يوم|hashtag=سعادة,hashtag=vanilla|hashtag=desserts|hashtag=cake|hashtag=today_and_everyday|hashtag=فانيلا|hashtag=كيك|hashtag=اليوم_وكل_يوم|hashtag=سعادة|avg_view_rate,8
19,0.935251798561151,avg_view_rate,hashtag=vanilla|hashtag=today_and_everyday|hashtag=icecream|hashtag=فانيلا|hashtag=اليوم_وكل_يوم|hashtag=ايسكريم,hashtag=vanilla|hashtag=today_and_everyday|hashtag=icecream|hashtag=فانيلا|hashtag=اليوم_وكل_يوم|hashtag=ايسكريم|avg_view_rate,6
20,0.7769784172661871,avg_view_rate,hashtag=freshlybaked|hashtag=yummy|hashtag=breakfast|hashtag=vanilla|hashtag=vanilla_today_and_everyday|hashtag=فانيلا|hashtag=فانيلا_اليوم_وكل_يوم,hashtag=freshlybaked|hashtag=yummy|hashtag=breakfast|hashtag=vanilla|hashtag=vanilla_today_and_everyday|hashtag=فانيلا|hashtag=فانيلا_اليوم_وكل_يوم|avg_view_rate,7
21,2.2158273381294964,high_view_rate,hashtag=mixesberries|hashtag=milkshake|hashtag=vanilla_today_and_everyday|hashtag=فانيلا|hashtag=فانيلا_اليوم_وكل_يوم,hashtag=mixesberries|hashtag=milkshake|hashtag=vanilla_today_and_everyday|hashtag=فانيلا|hashtag=فانيلا_اليوم_وكل_يوم|high_view_rate,5
22,0.9784172661870504,avg_view_rate,hashtag=سانسيباستيان|hashtag=cheesecake|hashtag=sansebastian|hashtag=vanilla|hashtag=today_and_everyday|hashtag=فانيلا_اليوم_وكل_يوم,hashtag=سانسيباستيان|hashtag=cheesecake|hashtag=sansebastian|hashtag=vanilla|hashtag=today_and_everyday|hashtag=فانيلا_اليوم_وكل_يوم|avg_view_rate,6
23,0.9856115107913669,avg_view_rate,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=frenchtoast|hashtag=vanilla|hashtag=bakery,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=frenchtoast|hashtag=vanilla|hashtag=bakery|avg_view_rate,4
24,6.426116838487973,high_view_rate,hashtag=vanilla_today_and_everyday|hashtag=vanilla|hashtag=dessert|hashtag=vanilla_cake,hashtag=vanilla_today_and_everyday|hashtag=vanilla|hashtag=dessert|hashtag=vanilla_cake|high_view_rate,4
25,2.3024054982817868,high_view_rate,hashtag=vanilla_today_and_everyday|hashtag=vanilla|hashtag=dessert|hashtag=vanilla_cake,hashtag=vanilla_today_and_everyday|hashtag=vanilla|hashtag=dessert|hashtag=vanilla_cake|high_view_rate,4
26,2.1305841924398625,high_view_rate,hashtag=vanilla_today_and_everyday|hashtag=vanilla|hashtag=dessert|hashtag=vanilla_cake,hashtag=vanilla_today_and_everyday|hashtag=vanilla|hashtag=dessert|hashtag=vanilla_cake|high_view_rate,4
27,4.135166093928981,high_view_rate,hashtag=ginger_twist|hashtag=vanilla|hashtag=جنجر_تويست,hashtag=ginger_twist|hashtag=vanilla|hashtag=جنجر_تويست|high_view_rate,3
28,4.238258877434135,high_view_rate,hashtag=ferraro-cheesecake|hashtag=vanilla,hashtag=ferraro-cheesecake|hashtag=vanilla|high_view_rate,2
29,2.7262313860252005,high_view_rate,hashtag=macaroons|hashtag=vanilla,hashtag=macaroons|hashtag=vanilla|high_view_rate,2
30,5.853379152348224,high_view_rate,hashtag=cakebox|hashtag=vanilla|hashtag=todayandeveryday|hashtag=reelsvideo,hashtag=cakebox|hashtag=vanilla|hashtag=todayandeveryday|hashtag=reelsvideo|high_view_rate,4
31,0.7823596792668958,avg_view_rate,hashtag=mothersday|hashtag=happymothersday|hashtag=vanilla_today_and_everyday|hashtag=فانيلا_اليوم_وكل_يوم|hashtag=يوم_الأم,hashtag=mothersday|hashtag=happymothersday|hashtag=vanilla_today_and_everyday|hashtag=فانيلا_اليوم_وكل_يوم|hashtag=يوم_الأم|avg_view_rate,5
32,1.8556701030927836,high_view_rate,hashtag=mothersday|hashtag=happymothersday|hashtag=vanilla_today_and_everyday|hashtag=فانيلا_اليوم_وكل_يوم|hashtag=يوم_الأم,hashtag=mothersday|hashtag=happymothersday|hashtag=vanilla_today_and_everyday|hashtag=فانيلا_اليوم_وكل_يوم|hashtag=يوم_الأم|high_view_rate,5
33,2.7491408934707904,high_view_rate,hashtag=mothersday|hashtag=happymothersday|hashtag=vanilla_today_and_everyday|hashtag=فانيلا_اليوم_وكل_يوم|hashtag=يوم_الأم,hashtag=mothersday|hashtag=happymothersday|hashtag=vanilla_today_and_everyday|hashtag=فانيلا_اليوم_وكل_يوم|hashtag=يوم_الأم|high_view_rate,5
34,1.7182130584192439,high_view_rate,hashtag=ramadan2025|hashtag=ramadankareem|hashtag=vanilla_today_and_everyday|hashtag=فانيلا_اليوم_وكل_يوم,hashtag=ramadan2025|hashtag=ramadankareem|hashtag=vanilla_today_and_everyday|hashtag=فانيلا_اليوم_وكل_يوم|high_view_rate,4
35,1.6494845360824741,high_view_rate,hashtag=vanilla_today_and_everyday,hashtag=vanilla_today_and_everyday|high_view_rate,1
