cluster_id,business_name,sector,post_type,caption_text,likes_count,comments_count,views_count,engagement_rate,view_rate,CTA_present,promo_post,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style
3,Mazaj Oriental - مزاج الشرقي,Cafes/Restaurants,reel,أصناف شرقية وغربية لا مثيل لها تنفرد بها بتفاصيل حصرية في صالة مزاج الشرقي، حيث الجلسات الراقية والمميزة بانتظاركم.,371.0,4,12400,0.016447368400000002,0.5438596491000001,0,1,0,0,0,1
3,Vanilla Palestine,Cafes/Restaurants,reel,Everyday is a Cake Day 😍😍😍 #vanilla_today_and_everyday #فانيلا_اليوم_وكل_يوم,2100.0,10,132000,0.0151798561,0.9496402878,0,1,0,0,0,1
3,aburob,Influencers,reel,ايش اسوي؟,77000.0,2000,2900000,0.013859649100000001,0.5087719298,0,1,0,0,0,1
3,ahmedalhenawi1,Influencers,reel,صناعة محتوى مع صانع محتوى,74800.0,770,2700000,0.0132578947,0.47368421050000004,0,1,0,0,0,1
3,Vanilla Palestine,Cafes/Restaurants,reel,Dream Vanilla Cake 😋 creamy and yummy😍 #vanilla_today_and_everyday,560.0,570,460000,0.0129438717,5.2691867125,0,1,0,0,0,1
3,Vanilla Palestine,Cafes/Restaurants,reel,لقمة وبتعشقها 😋,1422.0,27,211000,0.0104244604,1.5179856114999999,0,1,0,0,0,1
3,Shamsboutique,Fashion,reel,"Pov: فستانك من شمس بوتيك بسعر 80 شيقل فقط 🦋
بجنن بنات فقط 80 شيقل 🤎",7.0,0,8800,0.0094722598,11.9079837618,0,1,0,0,0,1
3,Vanilla Palestine,Cafes/Restaurants,reel,فانيلا غير 😍,1110.0,29,173000,0.008194244600000001,1.2446043165,0,1,0,0,0,1
3,aburob,Influencers,reel,لكل حد بحكي انه فيديوهاتي ذكاء اصطناعي 🤖 #honor600,44000.0,1070,1800000,0.0079070175,0.3157894737,0,1,0,0,0,1
3,Vanilla Palestine,Cafes/Restaurants,reel,"Your favorite cake is freshly prepared here.
كل ما تحب يصنع هنا 🥰",945.0,48,152000,0.0071438849,1.0935251799,0,1,0,0,0,1
