min_support,min_confidence,min_lift,max_antecedent_len,frequent_itemsets_count,valid_rules_before_filtering,final_rule_count,high_view_rate_rule_count,avg_lift,max_lift,avg_confidence,max_confidence,avg_confidence_lower_bound,max_confidence_lower_bound
0.01,0.4,2.0,2,1924,5431,412,49,2.916966377422756,3.9444444444444446,0.9771464208660812,1.0,0.2400131460241836,0.6755843804891231
0.01,0.5,2.0,2,1924,5386,412,49,2.916966377422756,3.9444444444444446,0.9771464208660812,1.0,0.2400131460241836,0.6755843804891231
0.01,0.6,2.0,2,1924,4712,412,49,2.916966377422756,3.9444444444444446,0.9771464208660812,1.0,0.2400131460241836,0.6755843804891231
0.02,0.4,1.0,3,571,2630,184,37,2.760408748068922,3.9444444444444446,0.8887670376121463,1.0,0.37231910939777374,0.6755843804891231
0.02,0.4,1.2,3,571,2630,183,37,2.7695469237121184,3.9444444444444446,0.8911950299245383,1.0,0.3726630002387977,0.6755843804891231
0.02,0.4,1.5,3,571,2630,181,37,2.7866232661726444,3.9444444444444446,0.8955176269402789,1.0,0.37470775375636,0.6755843804891231
0.02,0.5,1.0,3,571,2527,182,36,2.7760951058326366,3.9444444444444446,0.8938939037153322,1.0,0.37335947857384144,0.6755843804891231
0.02,0.5,1.2,3,571,2527,182,36,2.7760951058326366,3.9444444444444446,0.8938939037153322,1.0,0.37335947857384144,0.6755843804891231
0.02,0.5,1.5,3,571,2527,180,36,2.793339074441505,3.9444444444444446,0.8982705026455026,1.0,0.37542333048133514,0.6755843804891231
0.02,0.6,1.0,3,571,2063,175,32,2.818677862811791,3.9444444444444446,0.9093321995464856,1.0,0.37993478608434383,0.6755843804891231
0.02,0.6,1.2,3,571,2063,175,32,2.818677862811791,3.9444444444444446,0.9093321995464856,1.0,0.37993478608434383,0.6755843804891231
0.02,0.6,1.5,3,571,2063,175,32,2.818677862811791,3.9444444444444446,0.9093321995464856,1.0,0.37993478608434383,0.6755843804891231
0.02,0.4,2.0,3,571,2630,172,32,2.8334416239848648,3.9444444444444446,0.9135647379106683,1.0,0.3829396668568646,0.6755843804891231
0.02,0.5,2.0,3,571,2527,172,32,2.8334416239848648,3.9444444444444446,0.9135647379106683,1.0,0.3829396668568646,0.6755843804891231
0.02,0.6,2.0,3,571,2063,172,32,2.8334416239848648,3.9444444444444446,0.9135647379106683,1.0,0.3829396668568646,0.6755843804891231
0.02,0.4,1.0,2,351,832,85,23,2.623703485704627,3.9444444444444446,0.8311881419234359,1.0,0.3706601229978637,0.6755843804891231
0.02,0.4,1.2,2,351,832,84,23,2.641984210470587,3.9444444444444446,0.8357922335600908,1.0,0.3713895639205717,0.6755843804891231
0.02,0.4,1.5,2,351,832,82,23,2.6765658270421993,3.9444444444444446,0.8439822880371661,1.0,0.3758719238479171,0.6755843804891231
