business_name,sector,followers_count,post_date,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,view_rate,view_rate_bin
Vanilla Palestine,Cafes/Restaurants,87300,2025-04-28,Monday,April,reel,جنجر تويست 😋 مش بس تبريد.. بصحي كل خلية فيك 🍹😍 جربوه بجميع فروع فانيلا 🤩 فانيلا اليوم وكل يوم... #ginger_Twist #vanilla #جنجر_تويست,149,3,5,356,360,361000,Arabic,True,True,False,False,False,True,0,4.135166093928981,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-04-26,Saturday,April,reel,نقطة ضعف... بطعم الفيريرو 🍰😊😋 فانيلا اليوم وكل يوم... #ferraro-cheesecake #vanilla,96,2,3,288,280,370000,Arabic,False,True,False,False,False,True,0,4.238258877434135,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-04-23,Wednesday,April,reel,المشكلة الوحيدة انها بتخلص بسرعة 😊 فانيلا اليوم وكل يوم... #Macaroons #vanilla,84,2,1,200,200,238000,Arabic,False,True,False,False,False,True,0,2.7262313860252005,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-04-08,Tuesday,April,reel,🎉 وصلت تشكيلتنا الجديدة من علب الكيك الصغيرة... نكهات فخمة بحجم لطيف ترضي كل الأذواق 😍✨ كيك دبي بنكهتنا الغنية ✨ كيك الفراولة المنعشة 🍓 بلاك فورست لعشاق الشوكولاتة 🍫 كيك التيراميسو الإيطالية الفاخرة 🤎 كيك الكنافة الشرقية بلمسة عصرية 🥛 علب مثالية للإهداء أو الضيافة 😍💝 #cakebox #vanilla #todayandeveryday #reelsvideo,358,4,11,1611,1600,511000,Arabic,False,True,False,False,False,True,0,5.853379152348224,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-17,Monday,March,reel,أمي.. كل عام وانتِ أجمل نعمة 💜🎂 هلا بتقدرو تحجزو كيكة يوم الأم من فانيلا 💌 الحجوزات عبر رسائل الصفحة #mothersday #happymothersday #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم #يوم_الأم,218,5,4,53,60,68300,Arabic,True,True,False,False,False,True,0,0.7823596792668958,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-17,Monday,March,reel,أمي.. كل عام وانتِ أجمل نعمة 💜🎂 هلا بتقدرو تحجزو كيكة يوم الأم من فانيلا 💌 الحجوزات عبر رسائل الصفحة #mothersday #happymothersday #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم #يوم_الأم,218,5,4,214,214,162000,Arabic,True,True,False,False,False,True,0,1.8556701030927836,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-17,Monday,March,reel,أمي.. كل عام وانتِ أجمل نعمة 💜🎂 هلا بتقدرو تحجزو كيكة يوم الأم من فانيلا 💌 الحجوزات عبر رسائل الصفحة #mothersday #happymothersday #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم #يوم_الأم,218,5,4,232,232,240000,Arabic,True,True,False,False,False,True,0,2.7491408934707904,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-12,Wednesday,March,reel,بوفيه الإفطار الرمضاني 🌙 في فانيلا - فرع الطيرة وفرع نابلس ⭐⭐⭐⭐⭐ للحجز: 022961179 أو عبر رسائل الصفحة نستقبل المكالمات يومياً بعد الساعة الواحدة ظهراً #Ramadan2025 #RamadanKareem #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم,267,4,6,691,691,150000,Arabic,True,True,True,True,False,True,0,1.7182130584192439,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-10,Monday,March,reel,Delicious & Healthy 😍 Homemade Hot Apple Cider 🍏🍋 #vanilla_today_and_everyday,88,1,4,176,180,144000,English,False,True,False,False,False,True,0,1.6494845360824741,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-07,Friday,March,reel,بوفيه الإفطار الرمضاني 🌙 في فانيلا - فرع الطيرة وفرع نابلس ⭐⭐⭐⭐⭐ للحجز: 022961179 أو عبر رسائل الصفحة نستقبل المكالمات يومياً بعد الساعة الواحدة ظهراً #Ramadan2025 #RamadanKareem #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم,267,4,6,511,500,149000,Arabic,True,True,True,True,False,True,0,1.706758304696449,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-04,Tuesday,March,reel,نستقبل حجوزاتكم الآن بوفيه فانيلا الرمضاني فرع الطيرة وفرع نابلس ⭐⭐⭐⭐⭐ للحجز: 022961179 أو عبر رسائل الصفحة 🌙 رمضان مبارك #Ramadan2025 #RamadanKareem #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم,243,4,6,506,500,36700,Arabic,True,True,True,True,False,True,0,0.42038946162657503,low_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-04,Tuesday,March,reel,Dream Vanilla Cake 😋 creamy and yummy😍 #vanilla_today_and_everyday,76,1,2,560,570,460000,English,False,True,False,False,False,True,0,5.2691867124856815,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-02,Sunday,March,reel,Ramadan 🌙 Milkshake 😍🌴 #Ramadan2025 #RamadanKareem #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم,122,4,4,282,290,73800,Mixed,False,True,False,True,False,True,0,0.845360824742268,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-01,Saturday,March,reel,VANILLA® Today and everyday 🍰☕🧋 😍❤️ #vanilla_today_and_everyday,76,1,6,286,286,97400,English,False,True,True,False,False,True,0,1.1156930126002291,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-02-17,Monday,February,reel,تيراميسو إيطاليانو الساخن ✨ لذيذ ومميز 😊 Tiramisu Italiano hot drink #فانيلا_اليوم_وكل_يوم #vanilla_today_and_everyday,139,2,2,1100,1100,399000,Mixed,False,True,False,False,False,True,0,4.570446735395189,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-02-15,Saturday,February,reel,Choose your dessert for tonight 🍰💕 #VANILLA_Today_and_everyday,72,1,2,3308,3300,539000,English,True,True,False,False,False,True,0,6.174112256586484,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-01-10,Saturday,January,reel,Perfect Alfajores🤭,19,0,1,541,11,462000,English,False,True,False,False,False,False,0,3.323741007194245,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-01-16,Friday,January,reel,#فانيلا_اليوم_وكل_يوم,22,1,0,54,7,198000,Arabic,False,True,False,False,False,True,0,1.4244604316546763,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-01-20,Tuesday,January,reel,#vanilla_today_and_everyday #vanilla_cake,42,2,0,31,0,41500,English,False,True,False,False,False,False,0,0.29856115107913667,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-01-25,Sunday,January,reel,كفوفك كفوفك! #vanillabakery #فانيلا_اليوم_وكل_يوم,57,2,0,23,0,662000,Mixed,False,True,False,False,False,True,0,4.762589928057554,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-01-28,Wednesday,January,reel,Ferrero Cake,12,0,0,515,10,344000,English,False,True,False,False,False,False,0,2.4748201438848922,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-02-05,Thursday,February,reel,New year new me 😍😍😍,21,0,3,2155,10,348000,English,False,True,False,False,False,False,0,2.5035971223021583,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-02-08,Sunday,February,reel,Everyday is a Cake Day 😍😍😍 #vanilla_today_and_everyday #فانيلا_اليوم_وكل_يوم,81,2,3,2100,10,132000,Mixed,False,True,False,False,False,True,0,0.9496402877697842,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-02-18,Wednesday,February,reel,قريباً في نابلس، افتتاح فرع جديد. #فانيلا_اليوم_وكل_يوم,58,1,0,1652,163,213000,Arabic,True,True,True,False,False,True,0,1.5323741007194245,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-02-22,Sunday,February,reel,POV: Vanilla Cookies 😍,23,0,1,812,18,287000,English,False,True,False,False,False,False,0,2.064748201438849,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-02-25,Wednesday,February,reel,شو رأيكم بالديكور الجديد؟ 🤍,29,0,1,1330,52,179000,Arabic,True,False,False,False,False,True,0,1.2877697841726619,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-03-02,Monday,March,reel,Freshly baked croissants 🥐,28,0,1,975,21,154000,English,False,True,False,False,False,False,0,1.1079136690647482,avg_view_rate
