business_name,sector,followers_count,post_date,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,hashtags,hashtag_count,view_rate,engagement,engagement_rate,view_rate_ratio,performance_label
Vanilla Palestine,Cafes/Restaurants,139000,2023-08-11,Friday,August,reel,No no no Wait wait wait🤭🤣 إذا كان عن تجربتكم مع فرنش توست فانيلا 😍😋 🍞⏳ بالخبز الفرنسي المصنوع في مخبز فانيلا #فانيلا_اليوم_وكل_يوم #frenchtoast #vanilla #bakery,194,4,7,665,30,137000,Mixed,False,True,False,False,False,True,0,"['فانيلا_اليوم_وكل_يوم', 'frenchtoast', 'vanilla', 'bakery']",4,0.9856115107913669,695,0.005,0.9194630872483222,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-05-08,Thursday,May,reel,The NEW Italiano Pudding Tiramisu 😊😊 فانيلا اليوم وكل يوم... #VANILLA_Today_and_everyday #vanilla #dessert #vanilla_cake,129,4,2,1502,1500,561000,Mixed,False,True,False,False,False,True,0,"['vanilla_today_and_everyday', 'vanilla', 'dessert', 'vanilla_cake']",4,6.426116838487973,3002,0.03438717067583047,5.994833829193478,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-05-05,Monday,May,reel,فانيلا إلها حكاية... والحكاية بلشت من هون. فانيلا اليوم وكل يوم... #VANILLA_Today_and_everyday #vanilla #dessert #vanilla_cake,132,4,0,2414,2500,591000,Arabic,False,True,True,False,False,True,0,"['vanilla_today_and_everyday', 'vanilla', 'dessert', 'vanilla_cake']",4,6.769759450171821,4914,0.056288659793814436,6.3154131783482095,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-05-04,Sunday,May,reel,هوية فلسطينية مية بالمية 💪 By Palestinian artist @natalienajjarstudio فانيلا اليوم وكل يوم... #VANILLA_Today_and_everyday #vanilla #dessert #vanilla_cake,169,4,1,788,800,201000,Mixed,False,True,False,False,True,True,0,"['vanilla_today_and_everyday', 'vanilla', 'dessert', 'vanilla_cake']",4,2.3024054982817868,1588,0.018190148911798397,2.1478816393367004,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-05-01,Thursday,May,reel,بتشاركوهم ولا بتخلصهم لحالك؟ 🥺 Share it? Or all yours 🥺؟ فانيلا اليوم وكل يوم... #VANILLA_Today_and_everyday #vanilla #dessert #vanilla_cake,154,4,2,678,680,186000,Mixed,True,True,False,False,False,True,0,"['vanilla_today_and_everyday', 'vanilla', 'dessert', 'vanilla_cake']",4,2.1305841924398625,1358,0.015555555555555555,1.9875919647593348,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-04-28,Monday,April,reel,جنجر تويست 😋 مش بس تبريد.. بصحي كل خلية فيك 🍹😍 جربوه بجميع فروع فانيلا 🤩 فانيلا اليوم وكل يوم... #ginger_Twist #vanilla #جنجر_تويست,149,3,5,356,360,361000,Arabic,True,True,False,False,False,True,0,"['ginger_twist', 'vanilla', 'جنجر_تويست']",3,4.135166093928981,716,0.008201603665521192,3.857638168161935,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-04-26,Saturday,April,reel,نقطة ضعف... بطعم الفيريرو 🍰😊😋 فانيلا اليوم وكل يوم... #ferraro-cheesecake #vanilla,96,2,3,288,280,370000,Arabic,False,True,False,False,False,True,0,"['ferraro-cheesecake', 'vanilla']",2,4.238258877434135,568,0.006506300114547537,3.9538119729083543,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-04-23,Wednesday,April,reel,المشكلة الوحيدة انها بتخلص بسرعة 😊 فانيلا اليوم وكل يوم... #Macaroons #vanilla,84,2,1,200,200,238000,Arabic,False,True,False,False,False,True,0,"['macaroons', 'vanilla']",2,2.7262313860252005,400,0.004581901489117984,2.543262836627536,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-04-15,Tuesday,April,reel,POV: You Visit Vanilla To Taste This Famous Cheesecake 😎😊 #cheesecake #sansebastian #todayandeveryday,112,3,2,747,750,1000000,English,False,True,False,False,False,True,0,"['cheesecake', 'sansebastian', 'todayandeveryday']",3,11.45475372279496,1497,0.017147766323024054,10.685978305157715,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-04-08,Tuesday,April,reel,🎉 وصلت تشكيلتنا الجديدة من علب الكيك الصغيرة... نكهات فخمة بحجم لطيف ترضي كل الأذواق 😍✨ كيك دبي بنكهتنا الغنية ✨ كيك الفراولة المنعشة 🍓 بلاك فورست لعشاق الشوكولاتة 🍫 كيك التيراميسو الإيطالية الفاخرة 🤎 كيك الكنافة الشرقية بلمسة عصرية 🥛 علب مثالية للإهداء أو الضيافة 😍💝 #cakebox #vanilla #todayandeveryday #reelsvideo,358,4,11,1611,1600,511000,Arabic,False,True,False,False,False,True,0,"['cakebox', 'vanilla', 'todayandeveryday', 'reelsvideo']",4,5.853379152348224,3211,0.036781214203894616,5.460534913935592,high_view_rate
